Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,OOD Detection Rate,OOD AUROC
Cityscapes OOD,Swin-B,0,2,"('scale',)",3,0.952,0.7108040000000001
Cityscapes OOD,Swin-B,0,3,(),1,0.964,0.7408640000000001
Cityscapes OOD,Swin-B,0,3,(),2,0.964,0.7408640000000001
Cityscapes OOD,Swin-B,0,3,(),3,0.964,0.7408640000000001
Cityscapes OOD,Swin-B,0,3,"('horizontalFlip',)",1,0.95,0.716424
Cityscapes OOD,Swin-B,0,3,"('horizontalFlip',)",2,0.95,0.716424
Cityscapes OOD,Swin-B,0,3,"('horizontalFlip',)",3,0.95,0.716424
Cityscapes OOD,Swin-B,0,3,"('scale',)",1,0.952,0.6872480000000001
Cityscapes OOD,Swin-B,0,3,"('scale',)",2,0.952,0.6872480000000001
Cityscapes OOD,Swin-B,0,3,"('scale',)",3,0.952,0.6872480000000001
Cityscapes OOD,Swin-B,0,5,(),1,0.952,0.6930999999999999
Cityscapes OOD,Swin-B,0,5,(),2,0.952,0.6930999999999999
Cityscapes OOD,Swin-B,0,5,(),3,0.952,0.6930999999999999
Cityscapes OOD,Swin-B,0,5,"('horizontalFlip',)",1,0.944,0.674852
Cityscapes OOD,Swin-B,0,5,"('horizontalFlip',)",2,0.944,0.674852
Cityscapes OOD,Swin-B,0,5,"('horizontalFlip',)",3,0.944,0.674852
Cityscapes OOD,Swin-B,0,5,"('scale',)",1,0.948,0.6528
Cityscapes OOD,Swin-B,0,5,"('scale',)",2,0.948,0.6528
Cityscapes OOD,Swin-B,0,5,"('scale',)",3,0.948,0.6528
Cityscapes OOD,Swin-B,3,0,(),1,0.746,0.634984
Cityscapes OOD,Swin-B,3,0,(),2,0.754,0.635416
Cityscapes OOD,Swin-B,3,0,(),3,0.766,0.622412
Cityscapes OOD,Swin-B,3,0,"('horizontalFlip',)",1,0.802,0.67962
Cityscapes OOD,Swin-B,3,0,"('horizontalFlip',)",2,0.786,0.676664
Cityscapes OOD,Swin-B,3,0,"('horizontalFlip',)",3,0.78,0.6811079999999999
Cityscapes OOD,Swin-B,3,0,"('horizontalFlip', 'scale')",1,0.846,0.74208
Cityscapes OOD,Swin-B,3,0,"('horizontalFlip', 'scale')",2,0.862,0.739012
Cityscapes OOD,Swin-B,3,0,"('horizontalFlip', 'scale')",3,0.858,0.7386799999999999
Cityscapes OOD,Swin-B,3,0,"('scale',)",1,0.824,0.706188
Cityscapes OOD,Swin-B,3,0,"('scale',)",2,0.824,0.6937280000000001
Cityscapes OOD,Swin-B,3,0,"('scale',)",3,0.832,0.7003039999999999
Cityscapes OOD,Swin-B,3,1,(),1,0.926,0.79258
Cityscapes OOD,Swin-B,3,1,(),2,0.942,0.785964
Cityscapes OOD,Swin-B,3,1,(),3,0.928,0.786488
Cityscapes OOD,Swin-B,3,1,"('horizontalFlip',)",1,0.928,0.7990160000000001
Cityscapes OOD,Swin-B,3,1,"('horizontalFlip',)",2,0.922,0.806532
Cityscapes OOD,Swin-B,3,1,"('horizontalFlip',)",3,0.936,0.80228
Cityscapes OOD,Swin-B,3,1,"('scale',)",1,0.946,0.817012
Cityscapes OOD,Swin-B,3,1,"('scale',)",2,0.94,0.809464
Cityscapes OOD,Swin-B,3,1,"('scale',)",3,0.938,0.812608
Cityscapes OOD,Swin-B,3,2,(),1,0.924,0.75316
Cityscapes OOD,Swin-B,3,2,(),2,0.926,0.74452
